Date	Time	QCL1 Temp (C)	TEC1 Current (mA)	TEC1 Voltage (V)	QCL1 Current (mA)	QCL2 Temp (C)	TEC2 Current (mA)	TEC2 Voltage (V)	QCL2 Current (mA)	QCL3 Temp (C)	TEC3 Current (mA)	TEC3 Voltage (V)	QCL3 Current (mA)	Case Temp 1 (C)	Case Temp 2 (C)	PCB Temp (C)	
2023/02/02	16:18:18	21.7643	-5	0.06	2	20.9528	0	0.07	6	20.7815	-5	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:19	21.7643	-5	0.06	2	20.9528	0	0.07	6	20.7815	-5	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:19	21.7643	0	0.06	2	20.9528	-5	0.07	6	20.7915	-10	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:20	21.7643	0	0.06	2	20.9528	-5	0.07	6	20.7915	-10	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:20	21.7643	0	0.06	2	20.9528	0	0.08	6	20.7915	-10	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:21	21.7643	-5	0.06	4	20.9579	0	0.08	6	20.7865	-10	0.02	0	21.65	21.55	19.40	
2023/02/02	16:18:21	21.7643	-5	0.06	4	20.9579	0	0.08	6	20.7865	-10	0.02	0	21.65	21.55	19.40	
2023/02/02	16:18:22	21.7694	-5	0.06	4	20.9579	-10	0.07	6	20.7865	-5	0.02	4	21.65	21.55	19.40	
2023/02/02	16:18:22	21.7694	-5	0.06	4	20.9528	-5	0.08	6	20.7966	-5	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:23	21.7694	-5	0.06	4	20.9528	-5	0.08	6	20.7966	-5	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:23	21.7694	-5	0.06	4	20.9579	-5	0.08	6	20.7966	-15	0.01	0	21.65	21.55	19.50	
2023/02/02	16:18:24	21.7694	-5	0.06	4	20.9579	-5	0.08	6	20.7966	-15	0.01	0	21.65	21.55	19.50	
2023/02/02	16:18:24	21.7694	-5	0.05	2	20.9579	0	0.07	6	20.7966	-5	0.01	2	21.65	21.55	19.40	
2023/02/02	16:18:25	21.7694	-10	0.06	4	20.9629	0	0.08	7	20.7966	-10	0.01	2	21.65	21.55	19.50	
2023/02/02	16:18:25	21.7694	-10	0.06	4	20.9629	0	0.08	7	20.7966	-10	0.01	2	21.65	21.55	19.50	
2023/02/02	16:18:26	21.7694	0	0.06	2	20.9579	-5	0.08	6	20.8016	-5	0.01	2	21.65	21.55	19.40	
